SE,Principal Data Scientist,80000,L
MI,ML Engineer,30000,S
MI,ML Engineer,25500,S
SE,Data Scientist,175000,M
SE,Data Scientist,120000,M
SE,Applied Scientist,222200,L
SE,Applied Scientist,136000,L
SE,Data Scientist,219000,M
SE,Data Scientist,141000,M
SE,Data Scientist,147100,M
SE,Data Scientist,90700,M
SE,Data Analyst,130000,M
SE,Data Analyst,100000,M
EN,Applied Scientist,213660,L
EN,Applied Scientist,130760,L
SE,Data Modeler,147100,M
SE,Data Modeler,90700,M
SE,Data Scientist,170000,M
SE,Data Scientist,150000,M
MI,Data Analyst,150000,M
MI,Data Analyst,110000,M
SE,Research Engineer,275000,M
SE,Research Engineer,174000,M
SE,Analytics Engineer,230000,M
SE,Analytics Engineer,143200,M
SE,Business Intelligence Engineer,225000,M
SE,Business Intelligence Engineer,156400,M
SE,Machine Learning Engineer,200000,M
SE,Machine Learning Engineer,130000,M
SE,Data Strategist,90000,M
SE,Data Strategist,72000,M
SE,Data Engineer,253200,M
SE,Data Engineer,90700,M
SE,Computer Vision Engineer,342810,M
SE,Computer Vision Engineer,184590,M
MI,Data Engineer,162500,M
MI,Data Engineer,130000,M
MI,Data Analyst,105380,M
MI,Data Analyst,64500,M
EN,Data Quality Analyst,100000,L
EN,Compliance Data Analyst,30000,L
MI,Machine Learning Engineer,1650000,L
EN,Applied Scientist,204620,L
EN,Applied Scientist,110680,L
SE,Data Engineer,270703,M
SE,Data Engineer,221484,M
SE,Data Scientist,212750,M
SE,Data Scientist,185000,M
SE,Data Scientist,262000,M
SE,Data Scientist,245000,M
SE,Data Scientist,275300,M
SE,Data Scientist,183500,M
SE,Data Scientist,218500,M
SE,Data Scientist,199098,M
SE,Data Engineer,203300,M
SE,Data Engineer,123600,M
SE,Research Engineer,189110,M
SE,Research Engineer,139000,M
EX,Data Scientist,258750,M
EX,Data Scientist,185000,M
SE,Data Engineer,231500,M
SE,Data Engineer,166000,M
SE,Data Scientist,172500,M
SE,Data Scientist,110500,M
SE,Data Engineer,238000,M
SE,Data Engineer,176000,M
SE,Data Engineer,237000,M
SE,Data Engineer,201450,M
SE,Applied Scientist,309400,L
SE,Applied Scientist,159100,L
SE,Data Engineer,115000,M
SE,Data Engineer,81500,M
SE,Data Scientist,237000,M
SE,Data Scientist,201450,M
SE,Computer Vision Engineer,280000,M
SE,Computer Vision Engineer,210000,M
SE,Data Architect,280100,M
SE,Data Architect,168100,M
SE,Data Engineer,193500,M
SE,Data Engineer,139000,M
MI,Data Scientist,510000,L
SE,Machine Learning Engineer,150000,M
MI,Applied Machine Learning Engineer,65000,S
EN,AI Developer,300000,L
MI,Machine Learning Engineer,90000,L
SE,Business Intelligence Engineer,185900,M
SE,Business Intelligence Engineer,129300,M
SE,Data Engineer,225000,M
SE,Data Engineer,175000,M
SE,Data Engineer,185000,M
SE,Data Engineer,140000,M
SE,Data Scientist,45000,M
SE,Data Scientist,36000,M
SE,Data Scientist,105000,M
SE,Data Scientist,70000,M
EN,Machine Learning Engineer,163196,M
EN,Machine Learning Engineer,145885,M
SE,Data Engineer,217000,M
SE,Data Engineer,185000,M
SE,Data Analyst,202800,L
SE,Data Analyst,104300,L
SE,Data Analyst,145000,M
SE,Data Analyst,65000,M
SE,Data Engineer,165000,M
SE,Data Engineer,132300,M
SE,Data Engineer,179170,M
SE,Data Engineer,94300,M
SE,Analytics Engineer,152500,M
SE,Analytics Engineer,116450,M
SE,Data Engineer,247300,M
SE,Data Engineer,133800,M
SE,Research Engineer,203000,M
SE,Research Engineer,133000,M
EN,Research Scientist,220000,L
EN,Machine Learning Engineer,54000,S
SE,Data Scientist,150000,M
SE,Data Scientist,120000,M
SE,Analytics Engineer,289800,M
SE,Analytics Engineer,214000,M
SE,Analytics Engineer,179820,M
SE,Analytics Engineer,143860,M
SE,Machine Learning Engineer,283200,M
SE,Machine Learning Engineer,188800,M
SE,Analytics Engineer,289800,M
SE,Analytics Engineer,214200,M
SE,Data Engineer,185900,M
SE,Data Engineer,129300,M
